SOURCE	TARGET	LEVEL
José Ortega y Gasset visited Husserl at Freiburg in 1934.	1934 besuchte José Ortega y Gasset Husserl in Freiburg.	1.1194085809023286
However, a disappointing ninth in China meant that he dropped back to sixth in the standings.	Eine enttäuschende Neunte in China bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel.	-0.4885907976692206
In his diary, Chase wrote that the release of Mason and Slidell "…was like gall and wormwood to me.	In seinem Tagebuch, Chase schrieb, dass die Veröffentlichung von Mason und Slidell "war wie Galle und Wermut für mich.	-2.2070065929174003
Heavy arquebuses mounted on wagons were called arquebus à croc.	Schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt.	-0.7999462253079486
Once North Pacific salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.	Sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper.	0.3816327913115409
They engaged in crossfire at Guamaní River Bridge, Coamo and Silva Heights and finally at the Battle of Asomante.	Sie verübten Kreuzfeuer an der Guamaní River Bridge, Coamo und Silva Heights und schließlich an der Schlacht von Asomante.	-0.6601200312655385
Several WHA teams courted Gretzky, notably the Indianapolis Racers and the Birmingham Bulls.	Mehrere WHA-Teams umworben Gretzky, insbesondere die Indianapolis Racers und die Birmingham Bulls.	0.3251859963316856
16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami's quarterback.	16 Penn State, in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück.	-0.4635630357366903
On 12 April 1983, the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark.	Am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City.	0.03458725305345232
After that, Chinese junks came to northern Borneo with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls.	Danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Haiflossen, Kampfer, Rattan und Perlen in den Norden von Borneo.	-0.6521283848315022
Sienna Miller portrays The Baroness as one of the primary antagonists of Stephen Sommers' 2009 film G.I.	Sienna Miller porträtiert The Baroness als einen der Hauptantagonisten des Films G.I. von Stephen Sommers 2009	-1.079013096076472
The Roundhead besiegers made an effort to raise a new fort on Wall's furlong, but after some fighting with the Cavaliers they failed.	Die Roundhead Belagerer bemühten sich, eine neue Festung auf Wall 's Furlong zu erheben, aber nach einigen Kämpfen mit den Cavaliers scheiterten sie.	0.4282415226590108
When legendary wrestler Jake Roberts advised Orton not to underestimate The Undertaker, Orton performed an RKO on Roberts as well.	Als der legendäre Wrestler Jake Roberts Orton riet, The Undertaker nicht zu unterschätzen, führte Orton ebenfalls einen RKO auf Roberts durch.	-1.2963852009176358
Meanwhile, US garrisons in Japan continually dispatched soldiers and matériel to reinforce defenders in the Pusan Perimeter.	Unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Matériel, um Verteidiger im Pusan Perimeter zu stärken.	0.05734215275969087
The cover depicted a photograph of The Huxtables with a cracked frame, symbolizing the show's damaged and complicated legacy.	Das Cover zeigt ein Foto von The Huxtable mit einem geknackten Rahmen, das das beschädigte und komplizierte Erbe der Serie symbolisiert.	-1.4913520512894145
The use of furrow widener or a longer mouldboard on the rear body will overcome the problem.	Die Verwendung von Furchenwischer oder ein längeres Mouldboard auf der Rückseite Körper wird das Problem zu überwinden.	-1.8186732674930843
Differences in dimensionalities of phonons and excitons cause upper level to transform into many states of phonon field.	Unterschiede in der Dimensionalität von Phonen und Erregungen bewirken, dass sich die obere Ebene in viele Zustände des Phonon-Feldes verwandelt.	-0.5495926767276942
Their lustre tarnishes rapidly in air due to oxidation.	Durch Oxidation trübt ihr Glanz schnell in der Luft.	0.15443285300016446
"Renaissance Humanism and the Future of the Humanities."	"Renaissance Humanism and the Future of the Humanities".	-5.314497481366371
They bundled him into a field and "tarred and feathered" him.	Sie bündelten ihn in ein Feld und "tarred und gefiedert" ihn.	-1.2891594145862235
He ruled oppressively and nearly bankrupted Mali with his lavish spending.	Er regierte unterdrückerisch und fast bankrott Mali mit seinen verschwenderischen Ausgaben.	-0.6553291354699856
As a final disastrous coda to the expedition, Thucydides mentions the fate of a squadron of fifty triremes sent to relieve the Siege of Prosopitis.	Als letzte katastrophale Coda zur Expedition erwähnt Thucydides das Schicksal einer Staffel von fünfzig Triremen, die zur Linderung der Belagerung der Prosopitis geschickt wurden.	-1.4969292675119366
The HSBC also predicted that Vietnam's total GDP would surpass those of Norway, Singapore and Portugal by 2050.	Die HSBC prognostizierte auch, dass Vietnams gesamtes BIP das von Norwegen, Singapur und Portugal bis 2050 übertreffen würde.	0.7912908141095172
The local streams and lakes held animals such as freshwater clams, fish, ostracods, and snails.	Die lokalen Bäche und Seen hielten Tiere wie Süßwassermuscheln, Fische, Ostracods und Schnecken.	-0.04081800387819716
He criticised speculative philosophy, equating metaphysics with ideology.	Er kritisierte spekulative Philosophie, indem er Metaphysik mit Ideologie gleichsetzte.	0.5228133187940858
Stepan dies, leaving the Malachite Casket to his widow Nastyona.	Stepan stirbt und überlässt das malachitische Schrein seiner Witwe Nastyona.	-0.1490068574594788
Jackson appointed six justices to the Supreme Court.	Jackson ernannte sechs Richter am Obersten Gerichtshof.	0.7316330383290061
In doubles, Mirza reached her third Grand Slam semifinal, partnering Vesnina, where they fell to Svetlana Kuznetsova and Vera Zvonareva.	Im Doppel erreichte Mirza ihr drittes Halbfinale Grand Slam, in Partnerschaft mit Vesnina, wo sie Svetlana Kuznetsova und Vera Zvonareva fielen.	0.30889823663268506
The tornado briefly continued into Tennessee before dissipating.	Der Tornado fuhr kurz nach Tennessee fort, bevor er sich abfuhr.	0.2676206796286302
Pujols provided levity when he then joined in the booing.	Pujols sorgte für Leichtigkeit, als er dann in die Booing beitrat.	-1.9984606497268904
Plum Borough School District encompasses approximately 28 sqmi.	Plum Borough School District umfasst etwa 28 qm.	-1.6806934906490232
On 25 February 1991, Iraqi forces fired a Scud missile at an American barracks in Dhahran, Saudi Arabia.	Am 25. Februar 1991 feuerten irakische Truppen eine Scud-Rakete auf eine amerikanische Kaserne in Dhahran, Saudi-Arabien.	0.2573622046961081
The 1990s were plagued by armed conflicts in the North Caucasus, both local ethnic skirmishes and separatist Islamist insurrections.	Die 1990er Jahre wurden von bewaffneten Konflikten im Nordkaukasus heimgesucht, sowohl lokalen ethnischen Auseinandersetzungen als auch separatistischen islamistischen Aufständen.	0.6346672723067615
Punjab faced invasions by the Achaemenids, Greeks, Scythians, Turks, and Afghans.	Punjab sah sich Invasionen der Achaemeniden, Griechen, Skythen, Türken und Afghanen gegenüber.	-0.36128359967416185
On 17 January around 100 bombers dropped a high concentration of incendiaries, some 32,000 in all.	Am 17. Januar warfen rund 100 Bomber eine hohe Brandkonzentration ab, insgesamt etwa 32.000.	-1.3781539944987766
3, April 1947 "Zorro's Strange Duel", West Magazine Vol.	3, April 1947 "Zorro 's Strange Duel", West Magazine Vol.	0.5545163583479936
The Army often provided some policing alongside poorly resourced sheriffs and temporarily organized posses.	Die Armee stellte oft neben schlecht ausgestatteten Sheriffs und vorübergehend organisierten Stellungen Polizeiarbeit bereit.	-0.08639437291959103
This marked the first international bandy in Harbin.	Dies war der erste internationale Verband in Harbin.	-2.6259448964967684
Sophomore Jacory Harris directed the newly implemented offense.	Sophomore Jacory Harris leitete die neu umgesetzte Straftat.	-2.5232652378025002
The burning propellant generates inert gas which rapidly inflates the airbag in approximately 20 to 30 milliseconds.	Das brennende Treibmittel erzeugt inertes Gas, das den Airbag in etwa 20 bis 30 Millisekunden schnell aufblasen lässt.	-0.7927686337661847
After this, the Penguins discontinued the usage of their 2008 Winter Classic jerseys.	Danach haben die Pinguine die Nutzung ihrer Winter Classic Trikots 2008 eingestellt.	-0.13263873173902388
Sara then flees; Alex later calls Sebastian, further attempting to incriminate Sara.	Sara flieht, Alex ruft Sebastian und versucht Sara weiter zu belasten.	-0.04829486830698818
Paige pitched shutouts in his first two starts, striking out 14 and 18.	Paige schlug Shutouts in seinen ersten beiden Starts auf und schlug 14 und 18 aus.	0.4898124345827424
The pebbles include quartz, quartzite, quartz sandstone, pale pink mudstone and chert, embedded in a matrix of sand.	Zu den Kieselsteinen gehören Quarz, Quarzit, Quarzsandstein, blassrosa Lehm und Chert, eingebettet in eine Sandmatrix.	-0.4628418069374984
However the continued harsh enserfment of peasantry by Polish nobility and especially the suppression of the Orthodox Church alienated the Cossacks.	Doch die anhaltende harte Knechtschaft der Bauern durch den polnischen Adel und vor allem die Unterdrückung der orthodoxen Kirche entfremdeten die Kosaken.	-1.2632135360551369
In particular, chimeric hemoglobins found in fungi and giant annelids may contain both globin and other types of proteins.	Insbesondere können chimische Hämoglobine in Pilzen und Riesenanneliden sowohl Globin als auch andere Proteinarten enthalten.	-0.464178569066668
The Ottomans invaded Wallachia to restore Basarab Laiotă.	Die Osmanen drangen in die Walachei ein, um Basarab Laiotă wiederherzustellen.	0.5581701971043995
